@W: CG289 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\ram_module_top.v":70:33:70:38|Specified digits overflow the number's size
@W: CG289 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\ram_module_top.v":75:33:75:38|Specified digits overflow the number's size
@W: CG296 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":211:10:244:3|Incomplete sensitivity list; assuming completeness. Make sure all referenced variables in message CG290 are included in the sensitivity list.
@W: CG290 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":263:13:263:19|Referenced variable c_frame is not in sensitivity list.
@W: CG290 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":272:17:272:27|Referenced variable c_cntrl_tdc is not in sensitivity list.
@W: CG290 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":270:19:270:31|Referenced variable c_elec_config is not in sensitivity list.
@W: CG290 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":522:6:522:7|Referenced variable sr_finish is not in sensitivity list.
@W: CG290 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":429:26:429:38|Referenced variable prdata_config is not in sensitivity list.
@W: CG290 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":656:22:656:38|Referenced variable cemf_cycles_total is not in sensitivity list.
@W: CL169 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":173:1:173:6|Pruning unused register c_elec_config[128:0]. Make sure that there are no unused intermediate registers.
@W: CL118 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|Latch generated from always block for signal enable_sr_out; possible missing assignment in an if or case statement.
@W: CL118 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|Latch generated from always block for signal time_out[15:0]; possible missing assignment in an if or case statement.
@W: CL118 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|Latch generated from always block for signal delay_cemf[7:0]; possible missing assignment in an if or case statement.
@W: CL118 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|Latch generated from always block for signal cemf_cycles[7:0]; possible missing assignment in an if or case statement.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 0 of elec_config_aux[128:0] assign 0, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 1 of elec_config_aux[128:0] assign 1, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 2 of elec_config_aux[128:0] assign 1, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 3 of elec_config_aux[128:0] assign 0, register removed by optimization.
